n v tiempo llamadas
1 4 0.005438 3
4 4 0.003734 15
7 4 0.005046 35
10 4 0.00647 61
13 4 0.008172 89
16 4 0.014485 117
19 4 0.012606 141
22 4 0.012973 155
25 4 0.014808 159
28 4 0.016196 205
31 4 0.017444 233
34 4 0.018893 263
37 4 0.020301 287
40 4 0.022797 309
43 4 0.023069 331
46 4 0.025583 359
49 4 0.027066 373
52 4 0.028197 383
55 4 0.029896 431
58 4 0.030411 417
61 4 0.031268 433
64 4 0.034033 495
67 4 0.033355 505
70 4 0.036354 547
73 4 0.037638 567
76 4 0.039464 599
79 4 0.041525 617
1 25 0.003465 3
4 25 0.004402 23
7 25 0.007269 85
10 25 0.011361 173
13 25 0.019876 433
16 25 0.024232 583
19 25 0.028626 705
22 25 0.03589 897
25 25 0.039717 1027
28 25 0.044708 1181
31 25 0.051137 1371
34 25 0.053442 1411
37 25 0.061062 1623
40 25 0.068237 1839
43 25 0.071643 1937
46 25 0.079457 2165
49 25 0.083987 2241
52 25 0.091276 2429
55 25 0.095994 2599
58 25 0.111333 2745
61 25 0.105149 2887
64 25 0.111767 3087
67 25 0.117385 3223
70 25 0.124127 3411
73 25 0.130913 3537
76 25 0.133376 3689
79 25 0.139372 3839
1 64 0.003379 3
4 64 0.004899 31
7 64 0.009395 151
10 64 0.020595 479
13 64 0.036102 935
16 64 0.042339 1107
19 64 0.057647 1647
22 64 0.068697 1995
25 64 0.079257 2285
28 64 0.09503 2801
31 64 0.107639 3185
34 64 0.120168 3565
37 64 0.132771 3999
40 64 0.14446 4311
43 64 0.158055 4693
46 64 0.174255 5175
49 64 0.224251 5571
52 64 0.197014 5867
55 64 0.207368 6211
58 64 0.223536 6715
61 64 0.231542 6989
64 64 0.245222 7377
67 64 0.256044 7857
70 64 0.268001 8155
73 64 0.281514 8673
76 64 0.293664 8995
79 64 0.306425 9431
1 121 0.006802 3
4 121 0.005025 31
7 121 0.009614 181
10 121 0.026071 705
13 121 0.053513 1575
16 121 0.070431 2097
19 121 0.093555 2797
22 121 0.117275 3633
25 121 0.135006 4147
28 121 0.157401 4779
31 121 0.187299 5763
34 121 0.209987 6469
37 121 0.224981 7041
40 121 0.255118 7941
43 121 0.31996 8601
46 121 0.302898 9477
49 121 0.325826 10165
52 121 0.343 10867
55 121 0.364306 11453
58 121 0.381932 12217
61 121 0.407579 12917
64 121 0.434981 13833
67 121 0.44642 14283
70 121 0.493582 15277
73 121 0.495637 15869
76 121 0.523192 16643
79 121 0.538214 17175
1 196 0.007121 3
4 196 0.005337 31
7 196 0.011145 183
10 196 0.03195 809
13 196 0.070599 2175
16 196 0.098228 2989
19 196 0.144279 4499
22 196 0.17346 5455
25 196 0.20601 6501
28 196 0.234698 7437
31 196 0.283274 9099
34 196 0.317777 10187
37 196 0.34695 11001
40 196 0.412278 12649
43 196 0.423464 13635
46 196 0.462267 14973
49 196 0.495437 15981
52 196 0.529014 17081
55 196 0.584012 18299
58 196 0.607986 19585
61 196 0.641483 20731
64 196 0.693455 21753
67 196 0.714995 23115
70 196 0.77133 24313
73 196 0.783794 25395
76 196 0.818414 26549
79 196 0.867557 28095
1 289 0.007452 3
4 289 0.006615 31
7 289 0.012489 199
10 289 0.035927 1139
13 289 0.086592 2743
16 289 0.138765 4395
19 289 0.186134 5817
22 289 0.238412 7553
25 289 0.306739 9651
28 289 0.351126 11247
31 289 0.4017 12985
34 289 0.456508 14519
37 289 0.503315 16409
40 289 0.572125 18701
43 289 0.613803 19933
46 289 0.655817 21291
49 289 0.707253 23131
52 289 0.751433 24555
55 289 0.828191 26297
58 289 0.876217 28517
61 289 0.910702 29885
64 289 0.97874 32041
67 289 1.02438 33499
70 289 1.08536 35429
73 289 1.1302 37237
76 289 1.20265 39279
79 289 1.22592 40009
1 400 0.005631 3
4 400 0.007316 31
7 400 0.013419 219
10 400 0.042598 1227
13 400 0.100874 3153
16 400 0.158727 4927
19 400 0.224785 7287
22 400 0.33808 10959
25 400 0.377754 12427
28 400 0.473646 15109
31 400 0.547736 17535
34 400 0.603787 19577
37 400 0.670627 21845
40 400 0.77121 24861
43 400 0.820266 26845
46 400 0.90386 29679
49 400 1.0007 31857
52 400 1.06295 34549
55 400 1.09994 36249
58 400 1.1833 38823
61 400 1.24915 40853
64 400 1.3437 43973
67 400 1.40293 45999
70 400 1.49445 48573
73 400 1.55449 51097
76 400 1.62981 53419
79 400 1.73933 55779
1 529 0.005832 3
4 529 0.010916 31
7 529 0.015927 209
10 529 0.048182 1457
13 529 0.120847 3761
16 529 0.207163 6495
19 529 0.31331 9983
22 529 0.411788 13453
25 529 0.518657 16851
28 529 0.62953 20241
