1 3600 0.00059 3
4 3600 0.000711 16
7 3600 0.001179 36
10 3600 0.001796 70
13 3600 0.002438 120
16 3600 0.004253 226
19 3600 0.004597 265
1 3969 0.000435 3
4 3969 0.000987 15
7 3969 0.00179 64
10 3969 0.002697 117
13 3969 0.005379 272
16 3969 0.004896 272
19 3969 0.004004 224
1 4356 0.000445 3
4 4356 0.000806 15
7 4356 0.001139 36
10 4356 0.001955 81
13 4356 0.002261 114
16 4356 0.004561 260
19 4356 0.006237 370
1 4761 0.000417 3
4 4761 0.000733 15
7 4761 0.001071 39
10 4761 0.001368 66
13 4761 0.002648 139
16 4761 0.003237 170
19 4761 0.006611 379
1 5184 0.000417 3
4 5184 0.000728 15
7 5184 0.001297 44
10 5184 0.001561 66
13 5184 0.002849 148
16 5184 0.004387 243
19 5184 0.005382 317
1 5625 0.000412 3
4 5625 0.000777 15
7 5625 0.000979 36
10 5625 0.001988 85
13 5625 0.002731 130
16 5625 0.003103 177
19 5625 0.006155 381
1 6084 0.000409 3
4 6084 0.00083 17
7 6084 0.001383 46
10 6084 0.002207 98
13 6084 0.002752 145
16 6084 0.007036 411
19 6084 0.006985 422
1 6561 0.000412 3
4 6561 0.000996 17
7 6561 0.001194 39
10 6561 0.001863 75
13 6561 0.003683 197
16 6561 0.004781 255
19 6561 0.010988 673
1 7056 0.000323 3
4 7056 0.000883 16
7 7056 0.001341 44
10 7056 0.001842 80
13 7056 0.002765 140
16 7056 0.002662 153
19 7056 0.005267 308
1 7569 0.000399 3
4 7569 0.00075 18
7 7569 0.00119 42
10 7569 0.001976 85
13 7569 0.002693 136
16 7569 0.003765 205
19 7569 0.008858 543
1 8100 0.000297 3
4 8100 0.000768 15
7 8100 0.001098 38
10 8100 0.001808 81
13 8100 0.002373 115
16 8100 0.00485 267
19 8100 0.00402 242
1 8649 0.000376 3
4 8649 0.000739 15
7 8649 0.001515 44
10 8649 0.002317 99
13 8649 0.002092 106
16 8649 0.003302 179
19 8649 0.005896 344
1 9216 0.000474 3
4 9216 0.000716 15
7 9216 0.00114 37
10 9216 0.002421 102
13 9216 0.003573 183
16 9216 0.003734 205
19 9216 0.006476 384
1 9801 0.000423 3
4 9801 0.000825 17
7 9801 0.001126 36
10 9801 0.001986 91
13 9801 0.002844 137
16 9801 0.004054 210
19 9801 0.004839 297

1 3600 0.00034 3
4 3600 0.000831 16
7 3600 0.001412 39
10 3600 0.001671 76
13 3600 0.003637 140
16 3600 0.004147 226
19 3600 0.00419 236
1 3969 0.000502 3
4 3969 0.000792 16
7 3969 0.001079 36
10 3969 0.001888 85
13 3969 0.002637 135
16 3969 0.003571 197
19 3969 0.005364 318
1 4356 0.000406 3
4 4356 0.000698 15
7 4356 0.002156 84
10 4356 0.001984 84
13 4356 0.003853 206
16 4356 0.004559 260
19 4356 0.00825 502
1 4761 0.000411 3
4 4761 0.000689 15
7 4761 0.001052 36
10 4761 0.002342 106
13 4761 0.002726 131
16 4761 0.005181 282
19 4761 0.004864 276
1 5184 0.000398 3
4 5184 0.000745 15
7 5184 0.001196 40
10 5184 0.001823 84
13 5184 0.00299 150
16 5184 0.003986 228
19 5184 0.004156 252
1 5625 0.000385 3
4 5625 0.000717 15
7 5625 0.001304 44
10 5625 0.002016 94
13 5625 0.00263 132
16 5625 0.00462 250
19 5625 0.004734 281
1 6084 0.000385 3
4 6084 0.000854 18
7 6084 0.001413 48
10 6084 0.001656 70
13 6084 0.002194 105
16 6084 0.004438 258
19 6084 0.008104 482
1 6561 0.000407 3
4 6561 0.000654 15
7 6561 0.001435 44
10 6561 0.00234 102
13 6561 0.002327 121
16 6561 0.004275 237
19 6561 0.008244 502
1 7056 0.000398 3
4 7056 0.00101 17
7 7056 0.001356 50
10 7056 0.002002 81
13 7056 0.00307 150
16 7056 0.006057 337
19 7056 0.005146 305
1 7569 0.000471 3
4 7569 0.000748 15
7 7569 0.001146 42
